Descriptor,Importance
bittersweet,0.6221928571792916
melodic,0.6074716804181568
lush,0.5798004334088229
rhythmic,0.5766367265542612
sampling,0.5736868498420264
introspective,0.5731127946506929
poetic,0.5708630631038578
energetic,0.5682501583717867
atmospheric,0.554279190206709
melancholic,0.5466764267504836
playful,0.5321830883441541
progressive,0.48978703257754425
passionate,0.4864931759792269
eclectic,0.4697129996125302
manic,0.4483742896393109
alienation,0.438485179854487
love,0.4264718406135967
romantic,0.42265409063748227
uplifting,0.4226223633713171
mellow,0.4139864123771336
conscious,0.4124743816884021
aggressive,0.40875981293426483
warm,0.40872472410119115
anxious,0.40526419163480243
quirky,0.40043723808193193
philosophical,0.3778559343711076
heavy,0.37589816972306994
cryptic,0.36826153435735
urban,0.3672445944151315
sentimental,0.3619268704250762
angry,0.3596542797578412
lonely,0.35911292346776713
sarcastic,0.34844204012817537
complex,0.34776389481208103
longing,0.3413608798308932
political,0.3340537840822405
album,0.33235147230115475
concept,0.33235147230115475
surreal,0.33196988525526955
raw,0.3296025349400019
humorous,0.32538511860225455
dark,0.31967162320447384
nocturnal,0.3169935814325587
hedonism,0.31655004277383086
psychedelic,0.3128353066218552
death,0.3049130601822111
crime,0.3029087690763589
noisy,0.3025013977518322
sexual,0.30155001782577673
epic,0.2998346102395799
acoustic,0.29794586139429435
pastoral,0.29210221078741616
dense,0.28947086146364925
existential,0.2890939509933494
boastful,0.2878627338335753
soothing,0.287274174289095
soft,0.26928535578095425
summer,0.2573316758798987
sombre,0.24526070811619635
ethereal,0.24243428503541486
triumphant,0.24037099534807413
lgbtq,0.2354251521139628
abstract,0.23411674171363084
futuristic,0.2263671914494762
serious,0.22558823109843856
rebellious,0.22446855143149524
autumn,0.21659789853579087
spiritual,0.2065239607904258
anthemic,0.20160116602559583
cold,0.19916705673707036
violence,0.1986254778998953
drugs,0.19306738290540978
chaotic,0.1902845216970352
technical,0.18887216009227173
hypnotic,0.18878560621302418
apocalyptic,0.16929570428526394
calm,0.16544032499990036
ominous,0.16351044282947735
mysterious,0.15553259146898354
funereal,0.1502755469940596
peaceful,0.14904791718166002
breakup,0.1465494187551677
science,0.14587511703794068
fiction,0.14587511703794068
party,0.14225281968327744
suspenseful,0.14132399400021142
satirical,0.13840162598241124
misanthropic,0.13607148120631565
sensual,0.13528257779387762
vulgar,0.13363139427710086
meditative,0.13212815587070392
protest,0.12815416059937507
signatures,0.12758140648409244
uncommon,0.12758140648409244
time,0.12758140648409244
fantasy,0.12648673514169614
repetitive,0.11992375974146674
depressive,0.11585563265241895
winter,0.11222693677456051
avant,0.10647839378216531
garde,0.10647839378216531
monologue,0.1040884577403754
pessimistic,0.09865011434357616
happy,0.0873372655970414
war,0.08147257274221525
religious,0.07885036474596414
nihilistic,0.07355289702066271
alcohol,0.07343083800459105
history,0.0691062448827606
dissonant,0.06709608801831397
orchestral,0.06634725467610657
sad,0.06443869714496896
animals,0.0635033386042275
hateful,0.06251858418565297
sports,0.06183136737219224
medley,0.05251732071391953
self,0.05063772705054659
hatred,0.05063772705054659
nature,0.04786859108792843
optimistic,0.04748396562617193
travel,0.04461078931647187
sparse,0.04448718244121031
improvisation,0.04448718244121031
nostalgia,0.04325934829936663
occult,0.03591212102086788
christian,0.034877761196343914
aquatic,0.03290921060329756
minimalistic,0.03290921060329756
ritualistic,0.03002909966343652
suite,0.024664847063222934
instrumental,0.024664847063222934
spring,0.02361855310600164
fi,0.01090155510600094
lo,0.01090155510600094
cocaine,0.0
of,0.0
sound,0.0
wall,0.0
infernal,0.0
satanism,0.0
